Date,Close
13/02/2013,55.49
14/02/2013,55.9
15/02/2013,54.87
19/02/2013,55.64
20/02/2013,53.09
21/02/2013,50.94
22/02/2013,52.71
25/02/2013,50.47
26/02/2013,51.1
27/02/2013,52.54
28/02/2013,53.41
01/03/2013,52.63
04/03/2013,52.05
05/03/2013,54.94
06/03/2013,54.26
07/03/2013,53.78
08/03/2013,54.8
11/03/2013,54.31
12/03/2013,53.53
13/03/2013,54.64
14/03/2013,54.24
15/03/2013,52.69
18/03/2013,52.99
19/03/2013,53.42
20/03/2013,55.23
21/03/2013,54.18
22/03/2013,53.83
25/03/2013,53.02
26/03/2013,52.98
27/03/2013,53.51
28/03/2013,54.97
01/04/2013,53.16
02/04/2013,52.62
03/04/2013,51.24
04/04/2013,50.88
05/04/2013,51.85
08/04/2013,53.34
09/04/2013,53.21
10/04/2013,54.45
11/04/2013,55.21
12/04/2013,54.98
15/04/2013,50.89
16/04/2013,52.21
17/04/2013,51.46
18/04/2013,50.69
19/04/2013,51.69
22/04/2013,51.55
23/04/2013,50.7
24/04/2013,50.6
25/04/2013,52.01
26/04/2013,52.37
29/04/2013,52.41
30/04/2013,52.61
01/05/2013,50.83
02/05/2013,51.28
03/05/2013,54.49
06/05/2013,56.64
07/05/2013,57.72
08/05/2013,58.17
09/05/2013,57.83
10/05/2013,58.28
13/05/2013,57.49
14/05/2013,59.52
15/05/2013,58.68
16/05/2013,57.49
17/05/2013,58.68
20/05/2013,57.51
21/05/2013,57.43
22/05/2013,55.87
23/05/2013,56.06
24/05/2013,56.28
28/05/2013,57.17
29/05/2013,57
30/05/2013,57.41
31/05/2013,56.84
03/06/2013,55.02
04/06/2013,52.9
05/06/2013,51.44
06/06/2013,50.72
07/06/2013,51.85
10/06/2013,50.94
11/06/2013,49.84
12/06/2013,48.82
13/06/2013,49.88
14/06/2013,50.26
17/06/2013,49.17
18/06/2013,51.65
19/06/2013,51.16
20/06/2013,50.76
21/06/2013,49.27
24/06/2013,46.26
25/06/2013,48.12
26/06/2013,48.95
27/06/2013,50.57
28/06/2013,49.91
01/07/2013,50.05
02/07/2013,49.99
03/07/2013,50.29
05/07/2013,51.03
08/07/2013,51.69
09/07/2013,53.27
10/07/2013,52.14
11/07/2013,52.74
12/07/2013,52.81
15/07/2013,52.22
16/07/2013,50.98
17/07/2013,56.37
18/07/2013,56.7
19/07/2013,56.63
22/07/2013,56.52
23/07/2013,55.95
24/07/2013,55.44
25/07/2013,55.4
26/07/2013,54.56
29/07/2013,54.25
30/07/2013,55.16
31/07/2013,57.32
01/08/2013,59.41
02/08/2013,59.62
05/08/2013,58.88
06/08/2013,57.34
07/08/2013,55.87
08/08/2013,56.05
09/08/2013,55.55
12/08/2013,55.85
13/08/2013,55.73
14/08/2013,55.01
15/08/2013,54.11
16/08/2013,54.03
19/08/2013,54.01
20/08/2013,55.77
21/08/2013,56.14
22/08/2013,56.85
23/08/2013,56.29
26/08/2013,56.56
27/08/2013,54.22
28/08/2013,55.09
29/08/2013,55.9
30/08/2013,54.77
03/09/2013,55.65
04/09/2013,56.13
05/09/2013,56.95
06/09/2013,56.81
09/09/2013,58.25
10/09/2013,57.67
11/09/2013,55.34
12/09/2013,55.87
13/09/2013,56.07
16/09/2013,55.01
17/09/2013,56.5
18/09/2013,58.09
19/09/2013,57.79
20/09/2013,56.52
23/09/2013,56.54
24/09/2013,56.61
25/09/2013,56.79
